"transaction_id";"name";"creator_id";"group";"created_on";"updated_on";"method_type";"method_task_id";"transaction_is_public";"csv_separator";"csv_header_size";"csv_header_row";"csv_timestamp_column";"comment";"ttl"
"15";1466078467;Data Mobile - Cilaos Bras Sec - Campaign 13;root;RCI-GS;2016-06-16 12:01:07;2016-06-16 12:01:07;FTP;1466078467;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 12:01:07, original task name : Data Mobile - Cilaos Bras Sec - Campaign 13;0
"16";1510919492;Data Ref - UR - BSRN;root;RCI-GS;2017-11-17 11:51:32;2017-11-17 11:51:32;FTP;1510919492;NA;,;4;2;1;Transaction created by Falcon on 2017-11-17 11:51:32, original task name : Data Ref - UR - BSRN;0
"17";1466062510;Data Mobile - Saint Joseph - Campaign 18;root;RCI-GS;2016-06-16 07:35:10;2016-06-16 07:35:10;FTP;1466062510;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 07:35:10, original task name : Data Mobile - Saint Joseph - Campaign 18;0
"18";1495780551;Data Mobile - OVPF;root;GEO_SUN;2017-05-26 06:35:51;2017-05-26 06:35:51;FTP;1495780551;NA;,;4;2;1;Transaction created by Falcon on 2017-05-26 06:35:51, original task name : Data Mobile - OVPF;0
"19";1465986484;Data EDF - La Possession - Campaign 4;root;RCI-GS;2016-06-15 10:28:04;2016-06-15 10:28:04;FTP;1465986484;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 10:28:04, original task name : Data EDF - La Possession - Campaign 4;0
"20";1466078527;Data Mobile - Bras Panon - Campaign 10;root;RCI-GS;2016-06-16 12:02:07;2016-06-16 12:02:07;FTP;1466078527;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 12:02:07, original task name : Data Mobile - Bras Panon - Campaign 10;0
"21";1466078657;Data Mobile - Bras Panon - Campaign 7;root;RCI-GS;2016-06-16 12:04:17;2016-06-16 12:04:17;FTP;1466078657;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 12:04:17, original task name : Data Mobile - Bras Panon - Campaign 7;0
"22";1489063001;Test Giovanni - Test - Campaign Test;root;RCI-GS;2017-03-09 12:36:41;2017-03-09 12:36:41;IMPORT;1489063001;NA;,;1;1;1;TestGiovanni;0
"23";1465996107;Data Mobile - Durban;root;RCI-GS;2016-06-15 13:08:27;2016-06-15 13:08:27;FTP;1465996107;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 13:08:27, original task name : Data Mobile - Durban;0
"24";1466078597;Data Mobile - Bras Panon - Campaign 12;root;RCI-GS;2016-06-16 12:03:17;2016-06-16 12:03:17;FTP;1466078597;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 12:03:17, original task name : Data Mobile - Bras Panon - Campaign 12;0
"25";1466062876;Data Mobile - Le Port Mairie - Campaign 19;root;RCI-GS;2016-06-16 07:41:16;2016-06-16 07:41:16;FTP;1466062876;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 07:41:16, original task name : Data Mobile - Le Port Mairie - Campaign 19;0
"26";1465470095;Data Ref - Moufia UR - Campaign 8;root;RCI-GS;2016-06-09 11:01:35;2016-06-09 11:01:35;FTP;1465470095;NA;,;4;2;1;Transaction created by Falcon on 2016-06-09 11:01:35, original task name : Data Ref - Moufia UR - Campaign 8;0
"27";1466062654;Data Mobile - Sainte Rose - Campaign 17;root;RCI-GS;2016-06-16 07:37:34;2016-06-16 07:37:34;FTP;1466062654;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 07:37:34, original task name : Data Mobile - Sainte Rose - Campaign 17;0
